Y_bit,Y_bit_pct,Y_bit_pct_grp,mean_test_score_p,mean_test_score_e,roc_avg,fp_groups,Y_bit_description,ms_diff
5833,0.0559848484848484,1.0,0.6278048745674183,0.6520563861861165,0.6399306303767673,Aromatic Hydrophobe LumpedHydrophobe,Aromatic Hydrophobe LumpedHydrophobe |0 0 1|0 0 0|1 0 0|,0.024251511618698207
114,0.0664285714285714,1.0,0.6258673762506158,0.6500904846587012,0.6379789304546586,Hydrophobe LumpedHydrophobe,Hydrophobe LumpedHydrophobe |0 4|4 0|,0.024223108408085392
123,0.056038961038961,1.0,0.6376592676682978,0.6381030355673664,0.6378811516178321,Hydrophobe PosIonizable,Hydrophobe PosIonizable |0 3|3 0|,0.00044376789906852565
4503,0.0564069264069264,1.0,0.6286556409659134,0.6404247534746488,0.6345401972202811,Aromatic Aromatic Hydrophobe,Aromatic Aromatic Hydrophobe |0 1 2|1 0 1|2 1 0|,0.011769112508735358
67,0.1036038961038961,1.0,0.6373040814696355,0.630469930603442,0.6338870060365387,Aromatic PosIonizable,Aromatic PosIonizable |0 2|2 0|,-0.006834150866193434
10375,0.0669372294372294,1.0,0.6234720762642328,0.6394025032189653,0.6314372897415991,Hydrophobe LumpedHydrophobe LumpedHydrophobe,Hydrophobe LumpedHydrophobe LumpedHydrophobe |0 1 1|1 0 2|1 2 0|,0.015930426954732457
4508,0.0836580086580086,1.0,0.6294247893723476,0.6319472192956296,0.6306860043339886,Aromatic Aromatic Hydrophobe,Aromatic Aromatic Hydrophobe |0 1 3|1 0 1|3 1 0|,0.002522429923281999
5743,0.0633766233766233,1.0,0.6379349919663083,0.6199087894584746,0.6289218907123915,Aromatic Hydrophobe Hydrophobe,Aromatic Hydrophobe Hydrophobe |0 1 1|1 0 3|1 3 0|,-0.01802620250783371
33,0.085,1.0,0.6305792972459638,0.6269659765502548,0.6287726368981092,Acceptor PosIonizable,Acceptor PosIonizable |0 3|3 0|,-0.003613320695709077
9956,0.0846320346320346,1.0,0.617975173462932,0.6377365019791857,0.6278558377210588,Hydrophobe Hydrophobe LumpedHydrophobe,Hydrophobe Hydrophobe LumpedHydrophobe |0 2 3|2 0 1|3 1 0|,0.019761328516253784
