Y_bit,Y_bit_pct,Y_bit_pct_grp,mean_test_score_p,mean_test_score_e,roc_avg,fp_groups,Y_bit_description,ms_diff
10688,0.0644264069264069,1.0,0.6269846618212799,0.6166055377514209,0.6217950997863504,Hydrophobe LumpedHydrophobe PosIonizable,Hydrophobe LumpedHydrophobe PosIonizable |0 4 4|4 0 4|4 4 0|,-0.01037912406985897
5602,0.0546753246753246,1.0,0.6258890263344794,0.6133430455165201,0.6196160359254997,Aromatic Donor PosIonizable,Aromatic Donor PosIonizable |0 4 4|4 0 3|4 3 0|,-0.012545980817959324
69,0.2049458874458874,2.0,0.620601502117466,0.6185582880847289,0.6195798951010975,Aromatic PosIonizable,Aromatic PosIonizable |0 4|4 0|,-0.0020432140327371062
3004,0.1635064935064935,2.0,0.6230238230974439,0.6160859743623961,0.61955489872992,Acceptor Hydrophobe PosIonizable,Acceptor Hydrophobe PosIonizable |0 4 4|4 0 4|4 4 0|,-0.006937848735047769
4585,0.166504329004329,2.0,0.6370167598866204,0.6019785159368822,0.6194976379117514,Aromatic Aromatic Hydrophobe,Aromatic Aromatic Hydrophobe |0 4 4|4 0 3|4 3 0|,-0.0350382439497382
970,0.1607575757575757,2.0,0.6191462723757934,0.619735146042544,0.6194407092091687,Acceptor Acceptor PosIonizable,Acceptor Acceptor PosIonizable |0 4 4|4 0 4|4 4 0|,0.0005888736667505334
10165,0.0671536796536796,1.0,0.6086839506172839,0.6301492877492877,0.6194166191832857,Hydrophobe Hydrophobe PosIonizable,Hydrophobe Hydrophobe PosIonizable |0 1 4|1 0 4|4 4 0|,0.021465337132003826
34,0.2426406926406926,2.0,0.6156509702032978,0.6227792874944142,0.6192151288488561,Acceptor PosIonizable,Acceptor PosIonizable |0 4|4 0|,0.007128317291116404
10236,0.064534632034632,1.0,0.6265095976543191,0.6114608586433719,0.6189852281488455,Hydrophobe Hydrophobe PosIonizable,Hydrophobe Hydrophobe PosIonizable |0 4 4|4 0 4|4 4 0|,-0.015048739010947276
10010,0.1919264069264069,2.0,0.6235363886672394,0.6140846179390731,0.6188105033031562,Hydrophobe Hydrophobe LumpedHydrophobe,Hydrophobe Hydrophobe LumpedHydrophobe |0 4 4|4 0 4|4 4 0|,-0.009451770728166276
8495,0.0828246753246753,1.0,0.6110449321597544,0.626164983092332,0.6186049576260433,Donor Hydrophobe PosIonizable,Donor Hydrophobe PosIonizable |0 2 4|2 0 4|4 4 0|,0.015120050932577622
3230,0.2358766233766233,2.0,0.6214093285447623,0.6157231526604998,0.6185662406026311,Acceptor LumpedHydrophobe LumpedHydrophobe,Acceptor LumpedHydrophobe LumpedHydrophobe |0 4 4|4 0 4|4 4 0|,-0.005686175884262457
9964,0.1894047619047619,2.0,0.6183924876779562,0.6182621477305124,0.6183273177042343,Hydrophobe Hydrophobe LumpedHydrophobe,Hydrophobe Hydrophobe LumpedHydrophobe |0 2 4|2 0 4|4 4 0|,-0.00013033994744382493
5824,0.1968290043290043,2.0,0.6231028570744208,0.6115385656285973,0.6173207113515091,Aromatic Hydrophobe Hydrophobe,Aromatic Hydrophobe Hydrophobe |0 4 3|4 0 4|3 4 0|,-0.011564291445823494
5603,0.0779545454545454,1.0,0.6145470909961191,0.6197500716636165,0.6171485813298678,Aromatic Donor PosIonizable,Aromatic Donor PosIonizable |0 4 4|4 0 4|4 4 0|,0.005202980667497359
1715,0.096060606060606,1.0,0.6290976725382993,0.6049265727312145,0.6170121226347569,Acceptor Aromatic PosIonizable,Acceptor Aromatic PosIonizable |0 2 4|2 0 4|4 4 0|,-0.02417109980708476
2982,0.0779545454545454,1.0,0.5897807015722316,0.6435832090859126,0.6166819553290721,Acceptor Hydrophobe PosIonizable,Acceptor Hydrophobe PosIonizable |0 3 4|3 0 4|4 4 0|,0.053802507513680986
4512,0.0609090909090909,1.0,0.6247551162834397,0.607902877686838,0.6163289969851389,Aromatic Aromatic Hydrophobe,Aromatic Aromatic Hydrophobe |0 1 4|1 0 1|4 1 0|,-0.016852238596601676
5557,0.0518831168831168,1.0,0.6119867094540132,0.6204799612767218,0.6162333353653675,Aromatic Donor PosIonizable,Aromatic Donor PosIonizable |0 2 4|2 0 4|4 4 0|,0.008493251822708547
2393,0.0765800865800865,1.0,0.6132850046941107,0.6187064507935229,0.6159957277438168,Acceptor Donor PosIonizable,Acceptor Donor PosIonizable |0 2 4|2 0 4|4 4 0|,0.005421446099412197
6158,0.0611038961038961,1.0,0.6123145815261133,0.6194923530419313,0.6159034672840222,Aromatic Hydrophobe PosIonizable,Aromatic Hydrophobe PosIonizable |0 4 2|4 0 4|2 4 0|,0.007177771515817999
124,0.202012987012987,2.0,0.6103747226025873,0.6208201195035258,0.6155974210530566,Hydrophobe PosIonizable,Hydrophobe PosIonizable |0 4|4 0|,0.010445396900938486
