Y_bit,Y_bit_pct,Y_bit_pct_grp,mean_test_score_p,mean_test_score_e,roc_avg,fp_groups,Y_bit_description,ms_diff
2040,0.2718290043290043,3.0,0.5380317361812005,0.5131322765230446,0.5255820063521226,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 2 2|2 0 0|2 0 0|,-0.024899459658155876
2018,0.1351731601731601,1.0,0.5252022503822632,0.5257424403112265,0.5254723453467449,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 1 2|1 0 2|2 2 0|,0.0005401899289633194
548,0.4379437229437229,4.0,0.5311784989866346,0.51834349574707,0.5247609973668523,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 1 2|1 0 1|2 1 0|,-0.012835003239564657
1992,0.3353679653679653,3.0,0.5216078522406669,0.5276808695867579,0.5246443609137124,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 0 1|0 0 1|1 1 0|,0.006073017346091003
8206,0.1448051948051948,1.0,0.5290299912223287,0.5201668264913162,0.5245984088568225,Donor Hydrophobe LumpedHydrophobe,Donor Hydrophobe LumpedHydrophobe |0 0 1|0 0 0|1 0 0|,-0.008863164731012563
1382,0.1258549783549783,1.0,0.5310787554905088,0.5180795236985973,0.524579139594553,Acceptor Aromatic Hydrophobe,Acceptor Aromatic Hydrophobe |0 3 1|3 0 1|1 1 0|,-0.012999231791911425
2110,0.1441666666666666,1.0,0.5207349666377168,0.5283305754824602,0.5245327710600884,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 0 2|0 0 2|2 2 0|,0.007595608844743418
1220,0.2201839826839826,2.0,0.531697713506315,0.5160797241792442,0.5238887188427797,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 1 1|1 0 0|1 0 0|,-0.015617989327070814
662,0.1242748917748917,1.0,0.530606101166617,0.5165929061018346,0.5235995036342258,Acceptor Acceptor LumpedHydrophobe,Acceptor Acceptor LumpedHydrophobe |0 1 2|1 0 2|2 2 0|,-0.01401319506478238
538,0.1879761904761904,2.0,0.5209875051232729,0.525737057324,0.5233622812236365,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 1 0|1 0 0|0 0 0|,0.004749552200727147
2031,0.232987012987013,2.0,0.5332482291666667,0.5116688888888888,0.5224585590277777,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 2 0|2 0 1|0 1 0|,-0.02157934027777786
527,0.0914826839826839,1.0,0.5153960200799577,0.5294181535142852,0.5224070867971214,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 0 2|0 0 1|2 1 0|,0.014022133434327566
1226,0.0747835497835497,1.0,0.5460628805602269,0.4964399395510914,0.5212514100556591,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 1 2|1 0 1|2 1 0|,-0.0496229410091355
5171,0.2343722943722943,2.0,0.5224513736568004,0.5198409667402616,0.5211461701985309,Aromatic Donor Hydrophobe,Aromatic Donor Hydrophobe |0 1 0|1 0 0|0 0 0|,-0.002610406916538799
522,0.116504329004329,1.0,0.51705754928632,0.5222747152934804,0.5196661322899001,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 0 1|0 0 0|1 0 0|,0.005217166007160379
2149,0.0572619047619047,1.0,0.5344685232067511,0.5047369901547116,0.5196027566807313,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 2 1|2 0 1|1 1 0|,-0.02973153305203946
566,0.4008333333333333,4.0,0.5262865987010622,0.5108750327451728,0.5185808157231175,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 2 1|2 0 0|1 0 0|,-0.015411565955889439
591,0.1387878787878788,1.0,0.512331272075368,0.5196677899116727,0.5159995309935204,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 3 1|3 0 1|1 1 0|,0.0073365178363047345
1201,0.3008658008658009,3.0,0.5275675152579635,0.5036494725667469,0.5156084939123552,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 0 1|0 0 1|1 1 0|,-0.023918042691216668
2013,0.275064935064935,3.0,0.5246190247292692,0.5058498019288756,0.5152344133290725,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 1 1|1 0 2|1 2 0|,-0.018769222800393615
635,0.0812554112554112,1.0,0.5121617430770464,0.5088284372796053,0.5104950901783258,Acceptor Acceptor LumpedHydrophobe,Acceptor Acceptor LumpedHydrophobe |0 0 1|0 0 0|1 0 0|,-0.0033333057974411773
2131,0.0797727272727272,1.0,0.5245988845988846,0.4962911210530257,0.5104450028259552,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 1 2|1 0 2|2 2 0|,-0.0283077635458589
2121,0.226017316017316,2.0,0.5193516179449176,0.4982290915178599,0.5087903547313888,Acceptor Donor LumpedHydrophobe,Acceptor Donor LumpedHydrophobe |0 1 0|1 0 1|0 1 0|,-0.021122526427057697
296,0.0992532467532467,1.0,0.5128848254466192,0.4998389428170682,0.5063618841318437,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 0 1|0 0 0|1 0 0|,-0.013045882629550976
