Y_bit,Y_bit_pct,Y_bit_pct_grp,mean_test_score_p,mean_test_score_e,roc_avg,fp_groups,Y_bit_description,ms_diff
1237,0.1395670995670995,1.0,0.5242128771608887,0.5350122701467772,0.529612573653833,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 1 4|1 0 3|4 3 0|,0.0107993929858885
5241,0.0637337662337662,1.0,0.5274656939295753,0.5297571511615233,0.5286114225455494,Aromatic Donor Hydrophobe,Aromatic Donor Hydrophobe |0 3 4|3 0 3|4 3 0|,0.002291457231948013
607,0.081082251082251,1.0,0.5295533218707301,0.5276295634104845,0.5285914426406073,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 3 4|3 0 2|4 2 0|,-0.001923758460245617
2053,0.1102380952380952,1.0,0.5199082318520818,0.5370361510021313,0.5284721914271066,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 2 4|2 0 3|4 3 0|,0.01712791915004952
1234,0.0532034632034632,1.0,0.5135228282346076,0.542607577143918,0.5280652026892628,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 1 3|1 0 4|3 4 0|,0.029084748909310454
2093,0.1710714285714285,2.0,0.5263365856780344,0.5297931456997216,0.528064865688878,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 4 3|4 0 2|3 2 0|,0.0034565600216871495
609,0.245995670995671,2.0,0.5213254602758157,0.5308059731093806,0.5260657166925982,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 3 4|3 0 4|4 4 0|,0.00948051283356488
1276,0.0778571428571428,1.0,0.5200840617500118,0.532007716267036,0.5260458890085239,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 3 2|3 0 3|2 3 0|,0.011923654517024262
619,0.1792532467532467,2.0,0.5214955977923129,0.5304813091433739,0.5259884534678434,Acceptor Acceptor Hydrophobe,Acceptor Acceptor Hydrophobe |0 4 2|4 0 2|2 2 0|,0.008985711351060965
3,0.3086796536796536,3.0,0.5215893413541439,0.5301775012760503,0.5258834213150971,Acceptor Acceptor,Acceptor Acceptor |0 3|3 0|,0.008588159921906424
2042,0.292056277056277,3.0,0.5335407039282685,0.5163809668409302,0.5249608353845994,Acceptor Donor Hydrophobe,Acceptor Donor Hydrophobe |0 2 2|2 0 2|2 2 0|,-0.01715973708733831
8167,0.2346428571428571,2.0,0.5246737433339839,0.521754663142619,0.5232142032383014,Donor Hydrophobe Hydrophobe,Donor Hydrophobe Hydrophobe |0 3 2|3 0 1|2 1 0|,-0.0029190801913648867
732,0.0518073593073593,1.0,0.5173270606944076,0.5282188050045193,0.5227729328494635,Acceptor Acceptor LumpedHydrophobe,Acceptor Acceptor LumpedHydrophobe |0 4 2|4 0 2|2 2 0|,0.01089174431011175
1303,0.061504329004329,1.0,0.5140801683632079,0.5285324204097247,0.5213062943864664,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 4 3|4 0 3|3 3 0|,0.01445225204651679
393,0.0824134199134199,1.0,0.5129224336336854,0.5285270609246011,0.5207247472791432,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 4 2|4 0 2|2 2 0|,0.015604627290915718
8267,0.0743290043290043,1.0,0.5098436368313933,0.531555824301958,0.5206997305666756,Donor Hydrophobe LumpedHydrophobe,Donor Hydrophobe LumpedHydrophobe |0 2 4|2 0 2|4 2 0|,0.021712187470564692
1282,0.0572619047619047,1.0,0.5244394559623038,0.5129541960551821,0.518696826008743,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 3 3|3 0 4|3 4 0|,-0.011485259907121681
1261,0.0753030303030303,1.0,0.5169800892999985,0.5138933040237634,0.515436696661881,Acceptor Aromatic Donor,Acceptor Aromatic Donor |0 2 4|2 0 2|4 2 0|,-0.003086785276235071
5252,0.1377922077922078,1.0,0.5119566092360817,0.5104245500443552,0.5111905796402184,Aromatic Donor Hydrophobe,Aromatic Donor Hydrophobe |0 4 2|4 0 2|2 2 0|,-0.001532059191726498
380,0.0587012987012987,1.0,0.5096946327799082,0.5051996192881135,0.5074471260340109,Acceptor Acceptor Aromatic,Acceptor Acceptor Aromatic |0 3 4|3 0 1|4 1 0|,-0.004495013491794708
