,Y_bit,param_C,param_solver,Y_bit_pct,mean_test_score,precision,accuracy,recall,f1,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,random_seed
32,32,0.025,lbfgs,0.634469696969697,0.5420823704959152,0.6372813990461049,0.636984126984127,0.9986297957149975,0.7780473602484472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
33,33,0.025,lbfgs,0.7717316017316017,0.5506283916878829,0.760997300301731,0.7610317460317461,0.9998956703182055,0.8642409486451146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
34,34,0.025,lbfgs,0.4414502164502164,0.5671272535072334,0.5604938271604938,0.568968253968254,0.08211249773919334,0.14324025871588578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
35,35,0.025,lbfgs,0.6764393939393939,0.5570742813586507,0.6591685875526587,0.6588095238095238,0.9986753371868978,0.794158486952358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
39,39,0.025,lbfgs,0.18794372294372294,0.6189200845230414,0.6666666666666666,0.8181746031746032,0.013870827915041179,0.027176220806794056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
42,42,0.025,lbfgs,0.5760822510822511,0.5581323046356641,0.5856233378999114,0.5843650793650793,0.9870958978538441,0.735117090688382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
43,43,0.025,lbfgs,0.6164935064935065,0.5789101418580181,0.6241117764471058,0.6226984126984128,0.9941498155920132,0.7668236217382774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
44,44,0.025,lbfgs,0.33666666666666667,0.578314055500845,0.616580310880829,0.659047619047619,0.027413038470398526,0.05249228054697839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
45,45,0.025,lbfgs,0.6432575757575758,0.6124130307637546,0.6496763754045307,0.646984126984127,0.9855179185076093,0.7831090306221963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
48,48,0.025,lbfgs,0.16137445887445886,0.6033122908012516,0.47058823529411764,0.8462698412698413,0.008268733850129198,0.016251904520060943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
49,49,0.025,lbfgs,0.19795454545454547,0.6215032417450688,0.7377049180327869,0.808968253968254,0.01847290640394089,0.03604325190228275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
